symbol,name,exchange,assetType,ipoDate,delistingDate,status
CCBG,Capital City Bank Group Inc,NASDAQ,Stock,2/3/1997,null,Active
CCC,Clarivate Analytics Plc,NYSE,Stock,10/29/2018,null,Active
CCC-WS,Churchill Capital Corp Wt Exp 2023,NYSE,Stock,10/29/2018,null,Active
CCCL,China Ceramics Co Ltd,NASDAQ,Stock,12/17/2007,null,Active
CCEP,Coca-Cola European Partners plc,NYSE,Stock,11/24/1986,null,Active
CCF,Chase Corp,NYSE,Stock,10/25/1995,null,Active
CCI,Crown Castle International Corp,NYSE,Stock,8/18/1998,null,Active
CCI-P-A,Crown Castle International Corporation 6875 Mandatory Convertible Preferred Stock Series A,NYSE,Stock,7/21/2017,null,Active
CCIV,Churchill Capital Corp IV - Class A,NYSE,Stock,9/18/2020,null,Active
CCIV-U,Churchill Capital Corp IV Units each consisting of one share of Class A common stock and onefifth of one redeemable warrant,NYSE,Stock,7/30/2020,null,Active
CCIV-WS,Churchill Capital Corp IV - Warrants (04/08/2025),NYSE,Stock,9/18/2020,null,Active
CCJ,Cameco Corporation USA,NYSE,Stock,3/14/1996,null,Active
CCK,Crown Holdings Inc,NYSE,Stock,12/18/1984,null,Active
CCL,Carnival Corp (Paired Stock),NYSE,Stock,1/5/1989,null,Active
CCLP,Compressco Partners LP,NASDAQ,Stock,6/15/2011,null,Active
CCM,Concord Medical Services,NYSE,Stock,12/11/2009,null,Active
CCMP,Cabot Microelectronics Corp,NASDAQ,Stock,4/5/2000,null,Active
CCNC,Code Chain New Continent Ltd,NASDAQ,Stock,12/29/2015,null,Active
CCNE,CNB Financial Corporation Inc,NASDAQ,Stock,5/30/1996,null,Active
CCNEP,CNB Financial Corp (PA),NASDAQ,Stock,8/21/2020,null,Active
CCO,Clear Channel Outdoor Holdings Inc,NYSE,Stock,11/14/2005,null,Active
CCOI,Cogent Communications Group Inc,NASDAQ,Stock,2/5/2002,null,Active
CCR,CNX Coal Resources LP representing limited partner interests,NYSE,Stock,11/29/2017,null,Active
CCRC,China Customer Relations Centers Inc,NASDAQ,Stock,12/21/2015,null,Active
CCRN,Cross Country Healthcare Inc,NASDAQ,Stock,10/25/2001,null,Active
CCS,Century Communities Inc,NYSE,Stock,6/18/2014,null,Active
CCU,Compania Cervecerias Unidas SA ADR,NYSE,Stock,2/22/1993,null,Active
CCX,Churchill Capital Corp II Class A,NYSE,Stock,7/26/2019,null,Active
CCX-U,Churchill Capital Corp II Units each consisting of one share of Class A common stock 00001 par value and onethird of one redeemable warrant,NYSE,Stock,6/27/2019,null,Active
CCX-WS,Churchill Capital Corp II Warrants 02072024,NYSE,Stock,7/26/2019,null,Active
CCXI,ChemoCentryx Inc,NASDAQ,Stock,2/8/2012,null,Active
CCXX,Churchill Capital Corp III - Class A,NYSE,Stock,4/3/2020,null,Active
CCXX-U,Churchill Capital Corp III Units each consisting of one share of Class A Common Stock and onefourth of one redeemable Warrant,NYSE,Stock,2/14/2020,null,Active
CCXX-WS,Churchill Capital Corp III Warrants each exercisable for one share of Class A common stock at an exercise price of 11.50 per share,NYSE,Stock,4/3/2020,null,Active
CCZ,Comcast Holdings ZONES,NYSE,Stock,11/24/1999,null,Active
CDAY,Ceridian HCM Holding Inc,NYSE,Stock,4/26/2018,null,Active
CDE,Coeur Mining Inc,NYSE,Stock,4/12/1990,null,Active
CDEV,Centennial Resource Development Inc,NASDAQ,Stock,4/15/2016,null,Active
CDK,CDK Global Inc,NASDAQ,Stock,9/24/2014,null,Active
CDLX,Cardlytics Inc,NASDAQ,Stock,2/9/2018,null,Active
CDMO,Avid Bioservices Inc,NASDAQ,Stock,1/8/2018,null,Active
CDMOP,Avid Bioservices Inc 1050 Series E Convertible Preferred Stock,NASDAQ,Stock,1/8/2018,null,Active
CDNA,CareDx Inc,NASDAQ,Stock,7/17/2014,null,Active
CDNS,Cadence Design Systems Inc,NASDAQ,Stock,3/26/1990,null,Active
CDOR,Condor Hospitality Trust Inc,NYSE MKT,Stock,1/2/2001,null,Active
CDR,Cedar Realty Trust Inc,NYSE,Stock,2/19/1993,null,Active
CDR-P-B,Cedar Realty Trust Inc 725 Series B Cumulative Redeemable Preferred Stock,NYSE,Stock,5/24/2012,null,Active
CDR-P-C,Cedar Realty Trust Inc 650 Series C Cumulative Redeemable Preferred Stock,NYSE,Stock,8/18/2017,null,Active
CDTX,Cidara Therapeutics Inc,NASDAQ,Stock,4/15/2015,null,Active
CDW,CDW Corp,NASDAQ,Stock,6/27/2013,null,Active
CDXC,Chromadex Corp,NASDAQ,Stock,7/15/2008,null,Active
CDXS,Codexis Inc,NASDAQ,Stock,4/22/2010,null,Active
CDZI,Cadiz Inc,NASDAQ,Stock,3/26/1990,null,Active
CE,Celanese Corp,NYSE,Stock,1/21/2005,null,Active
CEA,China Eastern Airlines Corp Ltd ADR,NYSE,Stock,2/4/1997,null,Active
CECE,CECO Environmental Corp,NASDAQ,Stock,9/29/1992,null,Active
CEFD,ETRACS Monthly Pay 1.5X Leveraged ClosedEnd Fund Index ETN,NYSE ARCA,Stock,6/3/2020,null,Active
CEFZ,UBS AG London Branch ETRACS Monthly Pay 2X Leveraged Closed End Fd ETN Ser B 12102043,NYSE ARCA,Stock,10/25/2019,null,Active
CEI,Camber Energy Inc,NYSE MKT,Stock,5/1/2007,null,Active
CEIX,CONSOL Energy Inc,NYSE,Stock,11/14/2017,null,Active
CEL,Cellcom Israel Ltd,NYSE,Stock,2/7/2007,null,Active
CELC,Celcuity Inc,NASDAQ,Stock,9/20/2017,null,Active
CELG-R,BristolMyers Squibb Company. Contingent Value Rt 12312030,NYSE,Stock,12/2/2019,null,Active
CELGR,BristolMyers Squibb Company Celegne Contingent Value Rights,NYSE,Stock,12/2/2019,null,Active
CELH,Celsius Holdings Inc,NASDAQ,Stock,1/22/2007,null,Active
CELP,Cypress Energy Partners LP,NYSE,Stock,1/15/2014,null,Active
CEMI,Chembio Diagnostics Inc,NASDAQ,Stock,5/5/2004,null,Active
CENT,Central Garden Pet Company,NASDAQ,Stock,7/15/1993,null,Active
CENTA,Central Garden Pet Company,NASDAQ,Stock,2/6/2007,null,Active
CENX,Century Aluminum Company,NASDAQ,Stock,3/29/1996,null,Active
CEO,CNOOC Limited ADR,NYSE,Stock,2/27/2001,null,Active
CEPU,Central Puerto SA American Depositary Shares each represents ten,NYSE,Stock,2/2/2018,null,Active
CEQP,Crestwood Equity Partners LP,NYSE,Stock,7/26/2001,null,Active
CEQP-P,Crestwood Equity Partners LP Preferred Units representing limited partner interests,NYSE,Stock,6/15/2018,null,Active
CERC,Cerecor Inc,NASDAQ,Stock,11/13/2015,null,Active
CERN,Cerner Corp,NASDAQ,Stock,3/26/1990,null,Active
CERS,Cerus Corp,NASDAQ,Stock,1/31/1997,null,Active
CETV,Central European Media Enterprises Ltd,NASDAQ,Stock,10/14/1994,null,Active
CETX,Cemtrex Inc,NASDAQ,Stock,6/25/2015,null,Active
CETXP,Cemtrex Inc Series 1 Preferred Stock,NASDAQ,Stock,2/17/2017,null,Active
CETXW,Cemtrex Inc Series 1 Warrant,NASDAQ,Stock,2/17/2017,null,Active
CEVA,Ceva Inc,NASDAQ,Stock,11/1/2002,null,Active
CF,CF Industries Holdings Inc,NYSE,Stock,8/11/2005,null,Active
CFB,Crossfirst Bankshares Inc,NASDAQ,Stock,8/15/2019,null,Active
CFBI,Community First Bancshares Inc,NASDAQ,Stock,4/28/2017,null,Active
CFBK,CF Bankshares Inc,NASDAQ,Stock,12/30/1998,null,Active
CFCV,ClearBridge Focus Value,BATS,Stock,5/28/2020,null,Active
CFFA,CF Finance Acquisition Corp,NASDAQ,Stock,2/5/2019,null,Active
CFFAU,CF Finance Acquisition Corp Units 1 Ord Class A 1 War,NASDAQ,Stock,12/13/2018,null,Active
CFFAW,CF Finance Acquisition Corp Red Wt Exp 04302025,NASDAQ,Stock,1/31/2019,null,Active
CFFI,CF Financial Corp,NASDAQ,Stock,5/7/1998,null,Active
CFFN,Capitol Federal Financial,NASDAQ,Stock,4/1/1999,null,Active
CFG,Citizens Financial Group Inc,NYSE,Stock,9/24/2014,null,Active
CFG-P-D,Citizens Financial Group Inc Depositary Shares Series D,NYSE,Stock,1/23/2019,null,Active
CFIIU,CF Finance Acquisition Corp II,NASDAQ,Stock,8/27/2020,null,Active
CFMS,CONFORMIS INC,NASDAQ,Stock,7/1/2015,null,Active
CFR,CullenFrost Bankers Inc,NYSE,Stock,3/26/1990,null,Active
CFR-P-A,CullenFrost Bankers Inc Perpetual Preferred Series A,NYSE,Stock,9/22/2014,null,Active
CFR-P-A-CL,CullenFrost Bankers Inc. Perpetual Preferred Series A,NYSE,Stock,2/18/2020,null,Active
CFRX,ContraFect Corp,NASDAQ,Stock,9/12/2014,null,Active
CFX,Colfax Corp,NYSE,Stock,5/8/2008,null,Active
CFXA,Colfax Corporation 575 Tangible Equity Units,NYSE,Stock,1/9/2019,null,Active
CG,Carlyle Group LP,NASDAQ,Stock,5/3/2012,null,Active
CGA,China Green Agriculture Inc,NYSE,Stock,4/16/2008,null,Active
CGBD,TCG BDC Inc,NASDAQ,Stock,6/14/2017,null,Active
CGC,Canopy Growth Corp,NYSE,Stock,4/7/2014,null,Active
CGEN,Compugen Ltd,NASDAQ,Stock,8/11/2000,null,Active
CGIX,Cancer Genetics Inc,NASDAQ,Stock,4/5/2013,null,Active
CGNX,Cognex Corp,NASDAQ,Stock,10/9/1989,null,Active
CGRO,,NASDAQ,Stock,6/29/2020,null,Active
CGROU,Collective Growth Corp Unit 1 Cl A & 12 Wt,NASDAQ,Stock,5/1/2020,null,Active
CGROW,Collective Growth Corp Wt,NASDAQ,Stock,6/26/2020,null,Active
CHA,China Telecom Corporation Limited ADR,NYSE,Stock,11/14/2002,null,Active
CHAQ,,NYSE MKT,Stock,6/22/2020,null,Active
CHCI,Comstock Holding Co. Inc - Class A,NASDAQ,Stock,12/14/2004,null,Active
CHCO,City Holding Company,NASDAQ,Stock,2/19/1993,null,Active
CHCT,Community Healthcare Trust Inc,NYSE,Stock,5/21/2015,null,Active
CHD,Church Dwight Company Inc,NYSE,Stock,3/6/1986,null,Active
CHDN,Churchill Downs Inc,NASDAQ,Stock,3/29/1993,null,Active
CHE,Chemed Corp,NYSE,Stock,5/3/1973,null,Active
CHEF,The Chefs Warehouse Inc,NASDAQ,Stock,7/28/2011,null,Active
CHEK,Check-Cap Ltd,NASDAQ,Stock,3/4/2015,null,Active
CHEKZ,CheckCap Ltd Warrants Series C 03052023,NASDAQ,Stock,5/4/2018,null,Active
CHFS,CHF Solutions Inc,NASDAQ,Stock,2/16/2012,null,Active
CHGG,Chegg Inc,NYSE,Stock,11/13/2013,null,Active
CHH,Choice Hotels International Inc,NYSE,Stock,10/16/1996,null,Active
CHKP,Check Point Software Technologies Ltd,NASDAQ,Stock,6/28/1996,null,Active
CHL,China Mobile Ltd ADR,NYSE,Stock,10/22/1997,null,Active
CHMA,Chiasma Inc,NASDAQ,Stock,7/16/2015,null,Active
CHMG,Chemung Financial Corp,NASDAQ,Stock,1/4/1999,null,Active
CHMI,Cherry Hill Mortgage Investment Corp,NYSE,Stock,10/4/2013,null,Active
CHMI-P-A,Cherry Hill Mortgage Investment Corporation 820 Series A Cumulative Redeemable Preferred Stock,NYSE,Stock,8/11/2017,null,Active
CHMI-P-B,Cherry Hill Mortgage Investment Corporation 8250 Series B FixedtoFloating Rate Cumulative Redeemable Preferred Stock,NYSE,Stock,2/5/2019,null,Active
CHNG,Change Healthcare Inc,NASDAQ,Stock,6/27/2019,null,Active
CHNGU,Change Healthcare Inc Unit,NASDAQ,Stock,6/27/2019,null,Active
CHNGV,Change Healthcare Inc,NASDAQ,Stock,3/6/2020,null,Active
CHNR,China Natural Resources Inc,NASDAQ,Stock,8/7/1995,null,Active
CHPM,CHP Merger Corp Class A,NASDAQ,Stock,1/10/2020,null,Active
CHPMU,CHP Merger Corp Unit 1 Cl A & 1 Wt Exp 11212026,NASDAQ,Stock,11/22/2019,null,Active
CHPMW,,NASDAQ,Stock,1/10/2020,null,Active
CHRA,Charah Solutions Inc,NYSE,Stock,6/14/2018,null,Active
CHRS,Coherus Biosciences Inc,NASDAQ,Stock,11/6/2014,null,Active
CHRW,CH Robinson Worldwide Inc,NASDAQ,Stock,10/16/1997,null,Active
CHS,Chicos Fas Inc,NYSE,Stock,3/24/1993,null,Active
CHSCL,CHS Inc,NASDAQ,Stock,1/15/2015,null,Active
CHSCM,CHS Inc,NASDAQ,Stock,9/16/2014,null,Active
CHSCN,CHS Inc,NASDAQ,Stock,3/6/2014,null,Active
CHSCO,CHS Inc Class B Cumulative Redeemable Preferred Stock,NASDAQ,Stock,9/23/2013,null,Active
CHSCP,CHS Inc,NASDAQ,Stock,3/24/2003,null,Active
CHT,Chunghwa Telecom Company Ltd ADR,NYSE,Stock,10/9/2003,null,Active
CHTR,Charter Communications Inc,NASDAQ,Stock,1/5/2010,null,Active
CHU,China Unicom Hong Kong Ltd,NYSE,Stock,6/21/2000,null,Active
CHUY,Chuys Holdings Inc,NASDAQ,Stock,7/24/2012,null,Active
CHWY,Chewy Inc - Class A,NYSE,Stock,6/14/2019,null,Active
CHX,ChampionX Corp,NYSE,Stock,4/27/2018,null,Active
CHX-W,ChampionX Corporation Additional Shares When Issued,NYSE,Stock,5/29/2020,null,Active
CI,Cigna Corp,NYSE,Stock,3/31/1982,null,Active
CIA,Citizens Inc,NYSE,Stock,12/5/1988,null,Active
CIB,Bancolombia SA,NYSE,Stock,7/26/1995,null,Active
CIDM,Cinedigm Corp Class A,NASDAQ,Stock,11/10/2003,null,Active
CIEN,CIENA Corp,NYSE,Stock,2/7/1997,null,Active
CIG,Cia Energetica De Minas Gerais,NYSE,Stock,11/18/1996,null,Active
CIG-C,Companhia Energetica de Minas GeraisCemig ADS,NYSE,Stock,9/22/2014,null,Active
CIGI,Colliers International Group Inc,NASDAQ,Stock,1/20/1995,null,Active
CIH,China Index Holdings Ltd,NASDAQ,Stock,6/12/2019,null,Active
CIIC,CHINA INFRASTRUCTURE INVESTMENT CORP,NASDAQ,Stock,2/3/2020,null,Active
CIICU,CIIG Merger Corp Units 1 Ord Class A & 12 War,NASDAQ,Stock,12/13/2019,null,Active
CIICW,CIIG Merger Corp Wt Exp 12312026,NASDAQ,Stock,2/13/2020,null,Active
CIM,Chimera Investment Corp,NYSE,Stock,11/16/2007,null,Active
CIM-P-A,Chimera Investment Corporation 800 Series A Cumulative Redeemable Preferred Stock,NYSE,Stock,10/18/2016,null,Active
CIM-P-B,Chimera Investment Corporation 800 Series B FixedtoFloating Rate Cumulative Redeemable Preferred Stock,NYSE,Stock,3/1/2017,null,Active
CIM-P-C,Chimera Investment Corporation 775 Series C FixedtoFloating Rate Cumulative Redeemable Preferred Stock,NYSE,Stock,9/14/2018,null,Active
CIM-P-D,Chimera Investment Corporation 800 Series D FixedtoFloating Rate Cumulative Redeemable Preferred Stock,NYSE,Stock,1/16/2019,null,Active
CINF,Cincinnati Financial Corp,NASDAQ,Stock,3/26/1990,null,Active
CINR,Ciner Resources LP,NYSE,Stock,11/6/2015,null,Active
CIO,City Office REIT Inc,NYSE,Stock,4/15/2014,null,Active
CIO-P-A,City Office REIT Inc 6625 Series A Cumulative Redeemable Preferred Stock,NYSE,Stock,10/6/2016,null,Active
CIR,CIRCOR International Inc,NYSE,Stock,10/18/1999,null,Active
CIT,CIT Group Inc,NYSE,Stock,12/10/2009,null,Active
CIVB,Civista Bancshares Inc,NASDAQ,Stock,1/2/2001,null,Active
CIVBP,Civista Bancshares Inc,NASDAQ,Stock,2/3/2014,null,Active
CIX,CompX International Inc,NYSE,Stock,3/6/1998,null,Active
CIZN,Citizens Holding Company,NASDAQ,Stock,10/19/1999,null,Active
CJJD,China Jo Jo Drugstores Inc,NASDAQ,Stock,5/16/2008,null,Active
CKH,Seacor Holdings Inc,NYSE,Stock,1/29/2018,null,Active
CKPT,Checkpoint Therapeutics Inc,NASDAQ,Stock,12/19/2016,null,Active
CKX,CKX Lands Inc,NYSE,Stock,7/13/1999,null,Active
CL,ColgatePalmolive Company,NYSE,Stock,1/3/1977,null,Active
CLA-U,Colonnade Acquisition Corp Units each consisting of one Class A ordinary share and onehalf of one redeemable warrant,NYSE,Stock,8/21/2020,null,Active
CLAR,Clarus Corp,NASDAQ,Stock,5/27/1998,null,Active
CLB,Core Laboratories NV,NYSE,Stock,9/21/1995,null,Active
CLBK,COMMERCIAL BANKSHARES INC,NASDAQ,Stock,4/20/2018,null,Active
CLBS,Caladrius Biosciences Inc,NASDAQ,Stock,3/1/1999,null,Active
CLCT,Collectors Universe Inc,NASDAQ,Stock,11/5/1999,null,Active
CLDB,Cortland Bancorp,NASDAQ,Stock,1/2/2001,null,Active
CLDR,Cloudera Inc,NYSE,Stock,4/28/2017,null,Active
CLDT,Chatham Lodging Trust,NYSE,Stock,4/16/2010,null,Active
CLDX,Celldex Therapeutics Inc,NASDAQ,Stock,3/26/1990,null,Active
CLEU,China Liberal Education Holdings Ltd,NASDAQ,Stock,5/8/2020,null,Active
CLF,Cliffs Natural Resources Inc,NYSE,Stock,11/5/1987,null,Active
CLFD,Clearfield Inc,NASDAQ,Stock,8/7/1986,null,Active
CLGN,CollPlant Holdings Ltd,NASDAQ,Stock,1/30/2018,null,Active
CLGX,CoreLogic Inc,NYSE,Stock,3/23/1990,null,Active
CLH,Clean Harbors Inc,NYSE,Stock,3/26/1990,null,Active
CLI,Mack Cali Realty Corp,NYSE,Stock,8/25/1994,null,Active
CLIR,ClearSign Technologies Corp,NASDAQ,Stock,4/25/2012,null,Active
CLLS,Cellectis,NASDAQ,Stock,3/25/2015,null,Active
CLMT,Calumet Specialty Products Partners LP,NASDAQ,Stock,1/26/2006,null,Active
CLNC,Colony NorthStar Credit Real Estate Inc Class A,NYSE,Stock,2/1/2018,null,Active
CLNE,Clean Energy Fuels Corp,NASDAQ,Stock,5/25/2007,null,Active
CLNY,Colony Capital Inc Class A,NYSE,Stock,6/27/2014,null,Active
CLNY-P-B,Colony Capital Inc 825 Series B cumulative redeemable perpetual preferred stock,NYSE,Stock,1/11/2017,null,Active
CLNY-P-B-CL,,NYSE,Stock,12/12/2019,null,Active
CLNY-P-E,Colony Capital Inc 875 Series E cumulative redeemable perpetual preferred stock,NYSE,Stock,1/11/2017,null,Active
CLNY-P-E-CL,,NYSE,Stock,12/12/2019,null,Active
CLNY-P-G,Colony Capital Inc 750 Series G cumulative redeemable perpetual preferred stock,NYSE,Stock,1/12/2017,null,Active
CLNY-P-H,Colony Capital Inc 7125 Series H cumulative redeemable perpetual preferred stock,NYSE,Stock,1/11/2017,null,Active
CLNY-P-I,Colony Capital Inc 715 Series I Cumulative Redeemable Perpetual Preferred Stock,NYSE,Stock,5/25/2017,null,Active
CLNY-P-J,Colony Capital Inc 7125 Series J Cumulative Redeemable Perpetual Preferred Stock,NYSE,Stock,9/14/2017,null,Active
CLPR,Clipper Realty Inc,NYSE,Stock,2/10/2017,null,Active
CLPS,CLPS Inc,NASDAQ,Stock,5/24/2018,null,Active
CLPT,ClearPoint Neuro Inc,NASDAQ,Stock,2/12/2020,null,Active
CLPT,MRI Interventions Inc,NYSE,Stock,5/22/2012,null,Active
CLR,Continental Resources Inc,NYSE,Stock,5/15/2007,null,Active
CLRB,Cellectar Biosciences Inc,NASDAQ,Stock,11/10/2005,null,Active
CLRBZ,Cellectar Biosciences Inc Wt Ser A2 Exp 04082021,NASDAQ,Stock,4/20/2016,null,Active
CLRO,ClearOne Inc,NASDAQ,Stock,8/18/1995,null,Active
CLS,Celestica Inc,NYSE,Stock,6/30/1998,null,Active
CLSD,Clearside BioMedical Inc,NASDAQ,Stock,6/2/2016,null,Active
CLSK,Cleanspark Inc,NASDAQ,Stock,1/29/2016,null,Active
CLSN,Celsion Corp,NASDAQ,Stock,3/1/1999,null,Active
CLVS,Clovis Oncology Inc,NASDAQ,Stock,11/16/2011,null,Active
CLW,Clearwater Paper Corp,NYSE,Stock,12/5/2008,null,Active
CLWT,Euro Tech Holdings Company Ltd,NASDAQ,Stock,3/14/1997,null,Active
CLX,Clorox Company,NYSE,Stock,3/21/1983,null,Active
CLXT,Calyxt Inc,NASDAQ,Stock,7/20/2017,null,Active
CM,Canadian Imperial Bank of Commerce USA,NYSE,Stock,11/13/1997,null,Active
CMA,Comerica Inc,NYSE,Stock,3/26/1990,null,Active
CMBM,Cambium Networks Corp,NASDAQ,Stock,6/26/2019,null,Active
CMC,Commercial Metals Company,NYSE,Stock,11/5/1987,null,Active
CMCL,Caledonia Mining Corp,NYSE,Stock,6/29/2017,null,Active
CMCM,Cheetah Mobile Inc,NYSE,Stock,5/8/2014,null,Active
CMCO,Columbus McKinnon Corp,NASDAQ,Stock,2/28/1996,null,Active
CMCSA,Comcast Corp,NASDAQ,Stock,7/7/1988,null,Active
CMCT,CIM Commercial Trust Corp,NASDAQ,Stock,8/18/1995,null,Active
CMCTP,CIM Commercial Trust Corporation Series L Preferred Stock,NASDAQ,Stock,9/18/2018,null,Active
CMD,Cantel Medical Corp,NYSE,Stock,2/19/1993,null,Active
CME,CME Group Inc,NASDAQ,Stock,12/6/2002,null,Active
CMFNL,CM Finance Inc 6125 Notes due 2023,NASDAQ,Stock,7/13/2018,null,Active
CMG,Chipotle Mexican Grill Inc,NYSE,Stock,1/26/2006,null,Active
CMI,Cummins Inc,NYSE,Stock,12/18/1984,null,Active
CMLFU,CM Life Sciences Inc - Units (1 Ord Share Class A & 1/3 War),NASDAQ,Stock,9/2/2020,null,Active
CMLS,Cumulus Media Inc,NASDAQ,Stock,1/2/2001,null,Active
CMNT,COMPUTER NETWORK TECHNOLOGY CORP,NASDAQ,Stock,11/2/2017,null,Active
CMO,Capstead Mortgage Corp,NYSE,Stock,11/5/1987,null,Active
CMO-P-E,Capstead Mortgage Corporation Pfd Ser E,NYSE,Stock,9/22/2014,null,Active
CMP,Compass Minerals International Inc,NYSE,Stock,12/12/2003,null,Active
CMPI,Checkmate Pharmaceuticals Inc,NASDAQ,Stock,8/7/2020,null,Active
CMPR,Cimpress plc,NASDAQ,Stock,9/30/2005,null,Active
CMPS,Compass Pathways Plc,NASDAQ,Stock,9/18/2020,null,Active
CMRE,Costamare Inc,NYSE,Stock,11/4/2010,null,Active
CMRE-P-B,Costamare Inc Perpetual Preferred Stock Series B Marshall Islands,NYSE,Stock,9/22/2014,null,Active
CMRE-P-C,Costamare Inc Perpetual Preferred Series C Marshall Islands,NYSE,Stock,9/22/2014,null,Active
CMRE-P-D,Costamare Inc 875 Series D Cumulative Redeemable Perpetual Preferred Stock,NYSE,Stock,5/15/2015,null,Active
CMRE-P-E,Costamare Inc 8875 Series E Cumulative Redeemable Perpetual Preferred Stock par value 00001,NYSE,Stock,1/26/2018,null,Active
CMRX,Chimerix Inc,NASDAQ,Stock,4/11/2013,null,Active
CMS,CMS Energy Corp,NYSE,Stock,12/31/1984,null,Active
CMS-P-B,CMS Energy Corporation Preferred Stock,NYSE,Stock,9/22/2014,null,Active
CMSA,CMS Energy Corporation 5625 Junior Subordinated Notes due 2078,NYSE,Stock,3/12/2018,null,Active
CMSC,CMS Energy Corporation 5875 Junior Subordinated Notes due 2078,NYSE,Stock,10/1/2018,null,Active
CMSD,CMS Energy Corporation 5875 Junior Subordinated Notes due 2079,NYSE,Stock,2/21/2019,null,Active
CMT,Core Molding Technologies,NYSE MKT,Stock,9/16/1988,null,Active
CMTL,Comtech Telecomm Corp,NASDAQ,Stock,2/18/1992,null,Active
CNA,CNA Financial Corp,NYSE,Stock,7/11/1985,null,Active
CNBKA,Century Bancorp Inc. Class A,NASDAQ,Stock,3/27/1990,null,Active
CNC,Centene Corp,NYSE,Stock,12/13/2001,null,Active
CNCE,Concert Pharmaceuticals Inc,NASDAQ,Stock,2/13/2014,null,Active
CNDT,Conduent Inc,NASDAQ,Stock,1/3/2017,null,Active
CNET,ChinaNet Online Holdings Inc,NASDAQ,Stock,8/14/2009,null,Active
CNF,CNFinance Holdings Ltd ADS,NYSE,Stock,11/13/2018,null,Active
CNFR,Conifer Holdings Inc,NASDAQ,Stock,8/13/2015,null,Active
CNFRL,Conifer Holdings Inc Senior Unsecured Notes,NASDAQ,Stock,10/31/2018,null,Active
CNHI,CNH Industrial NV,NYSE,Stock,9/30/2013,null,Active
CNI,Canadian National Railway Company,NYSE,Stock,11/26/1996,null,Active
CNK,Cinemark Holdings Inc,NYSE,Stock,4/24/2007,null,Active
CNMD,CONMED Corp,NYSE,Stock,3/26/1990,null,Active
CNNB,,NASDAQ,Stock,6/21/2017,null,Active
CNNE,Cannae Holdings Inc,NYSE,Stock,11/20/2017,null,Active
CNO,CNO Financial Group Inc,NYSE,Stock,9/10/2003,null,Active
CNOB,ConnectOne Bancorp Inc,NASDAQ,Stock,5/30/1996,null,Active
CNP,CenterPoint Energy Inc,NYSE,Stock,1/2/1970,null,Active
CNP-P-B,CenterPoint Energy Inc Depositary Shares Series B,NYSE,Stock,9/26/2018,null,Active
CNQ,Canadian Natural Resources Ltd,NYSE,Stock,7/31/2000,null,Active
CNR,Cornerstone Building Brands Inc,NYSE,Stock,4/6/1992,null,Active
CNS,Cohen & Steers Inc,NYSE,Stock,8/16/2004,null,Active
CNSL,Consolidated Communications Holdings Inc,NASDAQ,Stock,7/22/2005,null,Active
CNSP,CENTRAL SPRINKLER CORP,NASDAQ,Stock,11/8/2019,null,Active
CNST,Constellation Pharmaceuticals Inc,NASDAQ,Stock,7/19/2018,null,Active
CNTG,Centogene NV,NASDAQ,Stock,11/7/2019,null,Active
CNTY,Century Casinos Inc,NASDAQ,Stock,11/10/1993,null,Active
CNX,CONSOL Energy Inc,NYSE,Stock,4/30/1999,null,Active
CNXM,CNX Midstream Partners LP representing limited partner interests,NYSE,Stock,1/4/2018,null,Active
CNXN,PC Connection Inc,NASDAQ,Stock,3/3/1998,null,Active
CO,China Cord Blood Corp,NYSE,Stock,5/9/2007,null,Active
COCP,Cocrystal Pharma Inc,NASDAQ,Stock,5/19/2011,null,Active
CODA,Coda Octopus Group Inc,NASDAQ,Stock,10/22/2008,null,Active
CODI,Compass Diversified Holdings,NYSE,Stock,5/18/2006,null,Active
CODI-P-A,Compass Diversified Holdings 7250 Series A Preferred Shares representing beneficial interest in,NYSE,Stock,6/20/2017,null,Active
CODI-P-B,Compass Diversified Holdings 7875 Series B FixedtoFloating Rate Cumulative Preferred Shares representing beneficial interests in,NYSE,Stock,3/6/2018,null,Active
CODX,CompanyDiagnostics Inc,NASDAQ,Stock,7/12/2017,null,Active
COE,China Online Education Group American depositary shares each representing 15 Class A,NYSE,Stock,6/10/2016,null,Active
COF,Capital One Financial Corp,NYSE,Stock,11/16/1994,null,Active
COF-P-F,Capital One Financial Corporation Depositary Shares Series F,NYSE,Stock,8/18/2015,null,Active
COF-P-G,Capital One Financial Corporation Depositary Shares Series G,NYSE,Stock,7/27/2016,null,Active
COF-P-H,Capital One Financial Corporation Depositary Shares Series H,NYSE,Stock,11/22/2016,null,Active
COF-P-I,Capital One Financial Corp. PRF PERPETUAL USD 25 Dp Sh Rp 140th Sr I,NYSE,Stock,9/5/2019,null,Active
COF-P-J,,NYSE,Stock,1/29/2020,null,Active
COF-P-K,Capital One Financial Corp,NYSE,Stock,9/11/2020,null,Active
COF-P-P,Capital One Financial Corp Pfd Ser B,NYSE,Stock,8/23/2012,null,Active
COF-P-P-CL,,NYSE,Stock,2/3/2020,null,Active
COFS,Choiceone Financial Services Inc,NASDAQ,Stock,12/31/2001,null,Active
COG,Cabot Oil Gas Corp,NYSE,Stock,2/8/1990,null,Active
COHN,Institutional Financial Markets Inc,NYSE,Stock,5/6/2004,null,Active
COHR,Coherent Inc,NASDAQ,Stock,3/26/1990,null,Active
