symbol,name,exchange,assetType,ipoDate,delistingDate,status
ACRE,Ares Commercial Real Estate Corp,NYSE,Stock,4/27/2012,null,Active
ACRS,Aclaris Therapeutics Inc,NASDAQ,Stock,10/7/2015,null,Active
ACRX,Acelrx Pharmaceuticals Inc,NASDAQ,Stock,2/11/2011,null,Active
ACST,Acasti Pharma Inc Class A,NASDAQ,Stock,5/6/2011,null,Active
ACTCU,ArcLight Clean Transition Corp - Units (1 Ord Share Class A & 1/2 War),NASDAQ,Stock,9/23/2020,null,Active
ACTG,Acacia Research Corp,NASDAQ,Stock,12/16/2002,null,Active
ACTT,ACT TELECONFERENCING INC,NASDAQ,Stock,5/14/2019,null,Active
ACTTW,Act II Global Acquisition Corp Warrants 30042026,NASDAQ,Stock,5/14/2019,null,Active
ACU,Acme United Corp,NYSE,Stock,9/7/1984,null,Active
ACY,AeroCentury Corp,NYSE,Stock,1/20/1998,null,Active
ADAP,Adaptimmune Therapeutics Plc,NASDAQ,Stock,5/6/2015,null,Active
ADBE,Adobe Inc,NASDAQ,Stock,8/14/1986,null,Active
ADC,Agree Realty Corp,NYSE,Stock,4/15/1994,null,Active
ADCT,Adc Therapeutics SA,NYSE,Stock,5/15/2020,null,Active
ADES,Advanced Emissions Solutions Inc,NASDAQ,Stock,1/23/2004,null,Active
ADI,Analog Devices Inc,NASDAQ,Stock,7/19/1984,null,Active
ADIL,Adial Pharmaceuticals Inc,NASDAQ,Stock,7/27/2018,null,Active
ADILW,Adial Pharmaceuticals Inc Warrants 31072023,NASDAQ,Stock,7/27/2018,null,Active
ADM,Archer Daniels Midland Company,NYSE,Stock,4/5/1983,null,Active
ADMA,ADMA Biologics Inc,NASDAQ,Stock,10/17/2013,null,Active
ADMP,Adamis Pharmaceuticals Corp,NASDAQ,Stock,8/14/1995,null,Active
ADMS,Adamas Pharmaceuticals Inc,NASDAQ,Stock,4/10/2014,null,Active
ADNT,Ardnet Mines Ltd,NYSE,Stock,10/31/2016,null,Active
ADP,Automatic Data Processing Inc,NASDAQ,Stock,4/6/1983,null,Active
ADPT,Adaptive Biotechnologies Corp,NASDAQ,Stock,6/27/2019,null,Active
ADRO,Aduro BioTech Inc,NASDAQ,Stock,4/15/2015,null,Active
ADS,Alliance Data Systems Corp,NYSE,Stock,6/15/2001,null,Active
ADSK,Autodesk Inc,NASDAQ,Stock,7/1/1985,null,Active
ADSW,Advanced Disposal Services Inc,NYSE,Stock,10/6/2016,null,Active
ADT,ADT Inc,NYSE,Stock,1/19/2018,null,Active
ADTN,ADTRAN Inc,NASDAQ,Stock,8/10/1994,null,Active
ADTX,Aditx Therapeutics Inc,NASDAQ,Stock,6/30/2020,null,Active
ADUS,Addus HomeCare Corp,NASDAQ,Stock,10/28/2009,null,Active
ADVM,Adverum Biotechnologies Inc,NASDAQ,Stock,1/4/2016,null,Active
ADXN,Addex Therapeutics Ltd ADS,NASDAQ,Stock,1/29/2020,null,Active
ADXS,Advaxis Inc,NASDAQ,Stock,7/28/2005,null,Active
AE,Adams Resources Energy Inc,NYSE,Stock,9/7/1984,null,Active
AEB,AEGON NV Perp Cap Secs Floating Rate Netherlands,NYSE,Stock,11/23/2005,null,Active
AEE,Ameren Corp,NYSE,Stock,1/2/1998,null,Active
AEFC,Aegon Funding Company LLC 5.10 Sub Notes 12152049,NYSE,Stock,10/24/2019,null,Active
AEG,AEGON NV,NYSE,Stock,7/1/1985,null,Active
AEGN,Aegion Corp Class A,NASDAQ,Stock,4/24/1989,null,Active
